"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,218,"SDN","Sudan",1,"Al Jazirah","Wilayat","State","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0627><U+0644><U+062C><U+0632><U+064A><U+0631><U+0629>","Gezira"
2,218,"SDN","Sudan",2,"Al Qadarif","Wilayat","State","<U+0627><U+0644><U+0642><U+0636><U+0627><U+0631><U+0641>","Gedarif|Gadarif|Gedaref|Gederaf"
3,218,"SDN","Sudan",3,"Blue Nile","Wilayat","State","<U+0627><U+0644><U+0646><U+064A><U+0644> <U+0627><U+0644><U+0623><U+0632><U+0631><U+0642><U+200E>","An Nil al Azraq|Nil Bleu|Nilo Azul"
4,218,"SDN","Sudan",4,"Central Darfur","Wilayat","State",NA,"Zalingei"
5,218,"SDN","Sudan",5,"East Darfur","Wilayat","State",NA,NA
6,218,"SDN","Sudan",6,"Kassala","Wilayat","State","<U+0643><U+0633><U+0644><U+0627>,","Cassala|Kessala"
7,218,"SDN","Sudan",7,"Khartoum","Wilayat","State","<U+0627><U+0644><U+062E><U+0631><U+0637><U+0648><U+0645>","Al Khartum| Al Khurtum| Cartum|Jartum| Khartum"
8,218,"SDN","Sudan",8,"North Darfur","Wilayat","State","<U+0634><U+0645><U+0627><U+0644> <U+062F><U+0627><U+0631><U+0641><U+0648><U+0631><U+200E>","Darfur ash Shamaliyah| Shamal Darfur| Darfur septentrional"
9,218,"SDN","Sudan",9,"North Kurdufan","Wilayat","State","<U+0634><U+0645><U+0627><U+0644> <U+0643><U+0631><U+062F><U+0641><U+0627><U+0646><U+200E>","Kurdufan ash Shamaliyah|Shamal Kurdufan|North Kordofan|Kordofan septentrional"
10,218,"SDN","Sudan",10,"Northern","Wilayat","State","<U+0627><U+0644><U+0634><U+0645><U+0627><U+0644><U+064A><U+0629>","Ash Shamali|Ash Shamaliyah|Nord"
11,218,"SDN","Sudan",11,"Red Sea","Wilayat","State","<U+0627><U+0644><U+0628><U+062D><U+0631> <U+0627><U+0644><U+0623><U+062D><U+0645><U+0631><U+200E>","Ba<U+1E25>r al A<U+1E25>mar|Mar Rojo|Mar Rosso|Mar Vermelho|Mer Rouge|Röda havet|Rødehavet|Rotes Meer"
12,218,"SDN","Sudan",12,"River Nile","Wilayat","State","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0646><U+0647><U+0631> <U+0627><U+0644><U+0646><U+064A><U+0644><U+200E>","an Nil, Nahr an Nil| Nil| Nile| Nile River|Nilen|Nilo"
13,218,"SDN","Sudan",13,"Sennar","Wilayat","State","<U+0633><U+0646><U+0627><U+0631>","Sinnar"
14,218,"SDN","Sudan",14,"South Darfur","Wilayat","State","<U+062C><U+0646><U+0648><U+0628> <U+062F><U+0627><U+0631><U+0641><U+0648><U+0631><U+200E>","Darfur al Janubiyah| Janub Darfur| Darfur méridional| Southern Darfur"
15,218,"SDN","Sudan",15,"South Kurdufan","Wilayat","State","<U+062C><U+0646><U+0648><U+0628> <U+0643><U+0631><U+062F><U+0641><U+0627><U+0646><U+200E>","Southern Kordofan|South Kordufan|Janub Kurdufan|Janub Kurdufun|Kurdufan al Janubiyah|Kordofan méridional"
16,218,"SDN","Sudan",16,"West Darfur","Wilayat","State","<U+063A><U+0631><U+0628> <U+062F><U+0627><U+0631><U+0641><U+0648><U+0631><U+200E>","Darfur al Gharbiyah|Gharb Darfur"
17,218,"SDN","Sudan",17,"West Kurdufan","Wilayat","State","<U+063A><U+0631><U+0628> <U+0643><U+0631><U+062F><U+0641><U+0627><U+0646><U+200E>","Gharb Kurdufan| Gharb Kurdufun| Kurdufan al Gharbiyah| Western Kordofan"
18,218,"SDN","Sudan",18,"White Nile","Wilayat","State","<U+0627><U+0644><U+0646><U+064A><U+0644> <U+0627><U+0644><U+0623><U+0628><U+064A><U+0636><U+200E>","An Ba<U+1E25>r al Abyad|An Nil al-Abyad|Nil Blanc|Nilo Branco"
