"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,218,"SDN","Sudan",1,"Al Jazirah",1,"Al Kamlin",1,"El Kamlin","Unknown","Unknown",NA,NA
2,218,"SDN","Sudan",1,"Al Jazirah",1,"Al Kamlin",2,"El Masid","Unknown","Unknown",NA,NA
3,218,"SDN","Sudan",1,"Al Jazirah",1,"Al Kamlin",3,"El Mi Eiliq","Unknown","Unknown",NA,NA
4,218,"SDN","Sudan",1,"Al Jazirah",1,"Al Kamlin",4,"Es Sideira","Unknown","Unknown",NA,NA
5,218,"SDN","Sudan",1,"Al Jazirah",2,"Al Mahagil",5,"Al Azazi","Unknown","Unknown",NA,NA
6,218,"SDN","Sudan",1,"Al Jazirah",2,"Al Mahagil",6,"El Bura","Unknown","Unknown",NA,NA
7,218,"SDN","Sudan",1,"Al Jazirah",2,"Al Mahagil",7,"El Huda","Unknown","Unknown",NA,NA
8,218,"SDN","Sudan",1,"Al Jazirah",2,"Al Mahagil",8,"El Kereimet","Unknown","Unknown",NA,NA
9,218,"SDN","Sudan",1,"Al Jazirah",2,"Al Mahagil",9,"El Qurashi","Unknown","Unknown",NA,NA
10,218,"SDN","Sudan",1,"Al Jazirah",2,"Al Mahagil",10,"El Rakha & El Matori","Unknown","Unknown",NA,NA
11,218,"SDN","Sudan",1,"Al Jazirah",2,"Al Mahagil",11,"Ma Tuq","Unknown","Unknown",NA,NA
12,218,"SDN","Sudan",1,"Al Jazirah",2,"Al Mahagil",12,"Sarhan","Unknown","Unknown",NA,NA
13,218,"SDN","Sudan",1,"Al Jazirah",2,"Al Mahagil",13,"Wad Adam","Unknown","Unknown",NA,NA
14,218,"SDN","Sudan",1,"Al Jazirah",3,"East al Gazera",14,"Abu Haraz","Unknown","Unknown",NA,NA
15,218,"SDN","Sudan",1,"Al Jazirah",3,"East al Gazera",15,"Barakat","Unknown","Unknown",NA,NA
16,218,"SDN","Sudan",1,"Al Jazirah",3,"East al Gazera",16,"Hantub","Unknown","Unknown",NA,NA
17,218,"SDN","Sudan",1,"Al Jazirah",3,"East al Gazera",17,"Shabarga","Unknown","Unknown",NA,NA
18,218,"SDN","Sudan",1,"Al Jazirah",3,"East al Gazera",18,"Sharif Ya Qub","Unknown","Unknown",NA,NA
19,218,"SDN","Sudan",1,"Al Jazirah",4,"North al Gazera",19,"Abu Guta","Unknown","Unknown",NA,NA
20,218,"SDN","Sudan",1,"Al Jazirah",4,"North al Gazera",20,"El Hasaheisa","Unknown","Unknown",NA,NA
