goodreads_book_id,tag_id,count
105,26837,1356
105,26771,1029
105,11743,439
105,8717,352
105,10007,317
105,26894,266
105,22743,227
105,11305,210
105,9221,151
105,11557,144
105,27398,141
105,26785,119
105,12479,71
105,26897,67
105,27199,66
105,7457,65
105,5207,63
105,28247,56
105,30574,51
105,11370,45
105,18045,44
105,10013,36
105,26816,35
105,22753,34
105,26842,33
105,10210,31
105,30521,30
105,3389,28
105,22034,27
105,1691,24
105,20849,22
105,5090,22
105,17213,22
105,28235,22
105,27403,22
105,10009,22
105,14278,22
105,10197,19
105,10094,18
105,28300,17
105,25647,17
105,10644,16
105,7404,16
105,26838,16
105,6122,16
105,22689,15
105,18367,15
105,22944,15
105,14280,15
105,20774,14
105,3371,14
105,21989,14
105,3358,14
105,23931,14
105,10729,14
105,3392,13
105,12940,13
105,26884,13
105,26774,13
105,15169,11
105,31557,11
105,15301,11
105,23694,11
105,14764,10
105,1642,10
105,7433,10
105,7308,10
105,11287,10
105,24960,9
105,30672,9
105,27656,9
105,28751,9
105,27401,9
105,7307,9
105,5444,8
105,2277,8
105,27412,8
105,28298,8
105,21953,8
105,11590,7
105,2104,7
105,27535,7
105,2313,7
105,923,7
105,1659,7
105,23471,7
105,5510,7
105,30551,7
105,11978,7
105,11372,7
105,11379,7
105,26432,7
105,25167,6
105,10093,6
105,22333,6
105,12869,6
105,473,6
105,26697,6
105,12700,6
105,21948,6
106,11743,1080
106,11305,620
106,26837,607
106,26894,573
106,22743,465
106,10007,391
106,11557,362
106,26785,294
106,27398,274
106,9221,242
106,27199,168
106,7457,155
106,5207,147
106,26897,141
106,28247,131
106,12479,108
106,11370,95
106,18045,94
106,26842,83
106,26816,80
106,22753,79
106,3389,73
106,30574,72
106,22034,72
106,7404,58
106,17213,56
106,28300,56
106,21989,50
106,25647,50
106,27403,49
106,28235,46
106,10729,46
106,24960,45
106,3392,45
106,20849,44
106,5090,44
106,10210,41
106,26774,41
106,14278,41
106,10197,40
106,18367,40
106,10013,40
106,11376,37
106,10009,37
106,26838,35
106,20774,34
106,3371,34
106,10644,32
106,3358,32
106,11287,32
106,2277,31
106,923,31
106,22944,31
106,30521,30
106,8717,29
106,1691,28
106,12940,28
106,23931,28
106,15169,27
106,23694,27
106,26884,26
106,15301,26
106,23471,25
106,14280,25
106,22689,23
106,1416,23
106,27401,23
106,7308,23
106,450,23
106,10094,22
106,31557,22
106,6122,22
106,11372,21
106,12475,21
106,1642,19
106,1659,19
106,24447,19
106,7307,19
106,10093,18
106,7433,18
106,8573,18
106,14064,16
106,3377,16
106,27412,16
106,29163,16
106,2450,16
106,11590,15
106,2313,15
106,7654,15
106,7435,15
106,5444,14
106,14764,14
106,30672,14
106,23349,14
106,25151,13
106,30573,13
106,3379,13
106,31505,13
106,28298,13
106,12700,13
112,26837,2762
112,26771,2136
112,11743,887
112,26894,484
112,11305,478
112,22743,380
112,10007,373
112,11557,349
112,27398,253
112,26785,248
112,9221,208
