book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,NonEnglish
9,960,960,3338963,311,1416524797,9781416524790.0,Dan Brown,2000.0,Angels & Demons,"Angels & Demons  (Robert Langdon, #1)",en-CA,3.85,2001311,2078754,25112,77841,145740,458429,716569,680175,https://images.gr-assets.com/books/1303390735m/960.jpg,https://images.gr-assets.com/books/1303390735s/960.jpg,0
26,968,968,2982101,350,307277674,9780307277670.0,Dan Brown,2003.0,The Da Vinci Code,"The Da Vinci Code (Robert Langdon, #2)",eng,3.79,1447148,1557292,41560,71345,126493,340790,539277,479387,https://images.gr-assets.com/books/1303252999m/968.jpg,https://images.gr-assets.com/books/1303252999s/968.jpg,0
35,865,865,4835472,458,61122416,9780061122420.0,"Paulo Coelho, Alan R. Clarke",1988.0,O Alquimista,The Alchemist,eng,3.82,1299566,1403995,55781,74846,123614,289143,412180,504212,https://images.gr-assets.com/books/1483412266m/865.jpg,https://images.gr-assets.com/books/1483412266s/865.jpg,0
37,100915,100915,4790821,474,60764899,9780060764890.0,C.S. Lewis,1950.0,"The Lion, the Witch and the Wardrobe","The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",eng,4.19,1531800,1584884,15186,19309,55542,262038,513366,734629,https://images.gr-assets.com/books/1353029077m/100915.jpg,https://images.gr-assets.com/books/1353029077s/100915.jpg,0
40,19501,19501,3352398,185,143038419,9780143038410.0,Elizabeth Gilbert,2006.0,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia","Eat, Pray, Love",eng,3.51,1181647,1206597,49714,100373,149549,310212,332191,314272,https://images.gr-assets.com/books/1503066414m/19501.jpg,https://images.gr-assets.com/books/1503066414s/19501.jpg,0
45,4214,4214,1392700,264,770430074,9780770430080.0,Yann Martel,2001.0,Life of Pi,Life of Pi,,3.88,1003228,1077431,42962,39768,74331,218702,384164,360466,https://images.gr-assets.com/books/1320562005m/4214.jpg,https://images.gr-assets.com/books/1320562005s/4214.jpg,0
62,119322,119322,1536771,287,679879242,9780679879240.0,Philip Pullman,1995.0,Northern Lights,"The Golden Compass (His Dark Materials, #1)",eng,3.94,953970,994914,14915,38382,64591,198764,313147,380030,https://images.gr-assets.com/books/1451271747m/119322.jpg,https://images.gr-assets.com/books/1451271747s/119322.jpg,0
67,128029,128029,3271379,197,1594489505,9781594489500.0,Khaled Hosseini,2007.0,A Thousand Splendid Suns,A Thousand Splendid Suns,eng,4.34,818742,866065,43645,6509,18015,99030,295817,446694,https://images.gr-assets.com/books/1345958969m/128029.jpg,https://images.gr-assets.com/books/1345958969s/128029.jpg,0
87,1617,1617,265616,109,374500010,9780374500020.0,"Elie Wiesel, Marion Wiesel",1958.0,Un di Velt Hot Geshvign,Night (The Night Trilogy #1),eng,4.3,691231,707879,22001,7761,18539,90575,230227,360777,https://images.gr-assets.com/books/1473495285m/1617.jpg,https://images.gr-assets.com/books/1473495285s/1617.jpg,0
100,7244,7244,810663,39,60786507,9780060786500.0,Barbara Kingsolver,1998.0,The Poisonwood Bible,The Poisonwood Bible,eng,4.02,546502,562787,19941,21699,33702,92590,175725,239071,https://images.gr-assets.com/books/1412242487m/7244.jpg,https://images.gr-assets.com/books/1412242487s/7244.jpg,0
114,6900,6900,1995335,172,751529818,9780751529810.0,"Mitch Albom, Saulius Dagys",1997.0,Tuesdays with Morrie,Tuesdays with Morrie,eng,4.06,556518,584397,19272,11507,30534,107446,194448,240462,https://images.gr-assets.com/books/1423763749m/6900.jpg,https://images.gr-assets.com/books/1423763749s/6900.jpg,0
119,38447,38447,1119185,236,038549081X,9780385490820.0,Margaret Atwood,1985.0,The Handmaid's Tale,The Handmaid's Tale,eng,4.06,607889,683564,35925,13998,32561,116975,252942,267088,https://images.gr-assets.com/books/1498057733m/38447.jpg,https://images.gr-assets.com/books/1498057733s/38447.jpg,0
126,234225,234225,3634639,241,340839937,9780340839940.0,Frank Herbert,1965.0,Dune,Dune (Dune Chronicles #1),eng,4.19,485032,525976,13239,13354,22778,74206,154771,260867,https://images.gr-assets.com/books/1434908555m/234225.jpg,https://images.gr-assets.com/books/1434908555s/234225.jpg,0
138,12296,12296,4925227,1579,142437263,9780142437260.0,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850.0,The Scarlet Letter,The Scarlet Letter,eng,3.37,509883,559246,11428,34813,80444,182701,165079,96209,https://images.gr-assets.com/books/1404810944m/12296.jpg,https://images.gr-assets.com/books/1404810944s/12296.jpg,0
142,5043,5043,3359698,255,451207149,9780451207140.0,Ken Follett,1989.0,The Pillars of the Earth,"The Pillars of the Earth (The Kingsbridge Series, #1)",eng,4.29,462517,495893,26283,9248,16886,57825,148052,263882,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
150,4989,4989,1041558,80,312353766,9780312353770.0,Anita Diamant,1997.0,The Red Tent,The Red Tent,en-US,4.16,424981,449217,17234,9470,19616,67878,146178,206075,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
167,4407,30165203,1970226,196,747263744,9780747263750.0,Neil Gaiman,2001.0,American Gods,"American Gods (American Gods, #1)",eng,4.11,378019,518343,27587,9888,24944,83253,178346,221912,https://images.gr-assets.com/books/1258417001m/4407.jpg,https://images.gr-assets.com/books/1258417001s/4407.jpg,0
174,1812457,1812457,2666268,134,964729237,9780964729230.0,William Paul Young,2007.0,The Shack: Where Tragedy Confronts Eternity,The Shack,eng,3.74,419539,438292,29377,35734,42977,84751,111923,162907,https://images.gr-assets.com/books/1344270232m/1812457.jpg,https://images.gr-assets.com/books/1344270232s/1812457.jpg,0
180,52036,52036,4840290,972,553208845,9780553208850.0,"Hermann Hesse, Hilda Rosner",1922.0,Siddhartha,Siddhartha,eng,3.99,372099,418653,11518,10229,25529,83698,138837,160360,https://images.gr-assets.com/books/1428715580m/52036.jpg,https://images.gr-assets.com/books/1428715580s/52036.jpg,0
201,6411961,6411961,6600281,208,385504225,9780385504220.0,Dan Brown,2009.0,The Lost Symbol,"The Lost Symbol (Robert Langdon, #3)",eng,3.66,369428,404982,24199,11293,40545,120122,136545,96477,https://images.gr-assets.com/books/1358274396m/6411961.jpg,https://images.gr-assets.com/books/1358274396s/6411961.jpg,0
219,11127,11127,781271,270,66238501,9780066238500.0,"C.S. Lewis, Pauline Baynes",1956.0,The Chronicles of Narnia,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",eng,4.24,376385,401676,8871,3772,12192,59975,133056,192681,https://images.gr-assets.com/books/1449868701m/11127.jpg,https://images.gr-assets.com/books/1449868701s/11127.jpg,0
240,17212231,17212231,23841765,235,385537859,9780385537860.0,Dan Brown,2013.0,Inferno,"Inferno (Robert Langdon, #4)",eng,3.8,287533,345560,33700,7261,26077,89237,128374,94611,https://images.gr-assets.com/books/1397093185m/17212231.jpg,https://images.gr-assets.com/books/1397093185s/17212231.jpg,0
256,49436,49436,251800,67,143038257,9780143038250.0,"Greg Mortenson, David Oliver Relin",2006.0,Three Cups of Tea,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,en-US,3.64,283516,288520,21681,14371,27844,77127,97820,71358,https://images.gr-assets.com/books/1395407074m/49436.jpg,https://images.gr-assets.com/books/1395407074s/49436.jpg,0
283,12067,12067,4110990,114,60853980,9780060853980.0,"Terry Pratchett, Neil Gaiman",1990.0,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",en-US,4.25,298304,326373,13914,4991,10988,44804,101159,164431,https://images.gr-assets.com/books/1392528568m/12067.jpg,https://images.gr-assets.com/books/1392528568s/12067.jpg,0
292,140225,140225,3349054,299,006112527X,9780061125270.0,"C.S. Lewis, Pauline Baynes",1951.0,The Voyage of the Dawn Treader,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",eng,4.08,306492,325264,4620,2658,12490,69089,112121,128906,https://images.gr-assets.com/books/1343185059m/140225.jpg,https://images.gr-assets.com/books/1343185059s/140225.jpg,0
297,135479,135479,1621115,155,140285601,9780140285600.0,Kurt Vonnegut Jr.,1963.0,Cat's Cradle,Cat's Cradle,eng,4.18,238940,274153,8050,2701,8491,43680,102441,116840,https://images.gr-assets.com/books/1327867150m/135479.jpg,https://images.gr-assets.com/books/1327867150s/135479.jpg,0
299,7933292,7933292,11283577,69,849946158,9780849946160.0,"Todd Burpo, Lynn Vincent",2010.0,,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,eng,4.01,228371,243018,14378,9291,15024,44510,68399,105794,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
303,52529,52529,2001660,113,1582701709,9781582701710.0,Rhonda Byrne,2006.0,The Secret,"The Secret (The Secret, #1)",eng,3.62,241537,250945,9663,23328,26321,55785,61698,83813,https://images.gr-assets.com/books/1482865039m/52529.jpg,https://images.gr-assets.com/books/1482865039s/52529.jpg,0
311,3412,3412,816449,201,380018179,9780380018180.0,Colleen McCullough,1977.0,The Thorn Birds,The Thorn Birds,eng,4.22,255651,266826,4556,2889,9117,42299,85531,126990,https://images.gr-assets.com/books/1391416796m/3412.jpg,https://images.gr-assets.com/books/1391416796s/3412.jpg,0
325,4473,4473,1734019,138,552135399,9780552135400.0,John Irving,1989.0,A Prayer for Owen Meany,A Prayer for Owen Meany,eng,4.22,226964,246452,11197,4679,9761,33669,76223,122120,https://images.gr-assets.com/books/1260470010m/4473.jpg,https://images.gr-assets.com/books/1260470010s/4473.jpg,0
332,65605,65605,1031537,312,60764902,9780060764910.0,C.S. Lewis,1953.0,The magician's nephew,"The Magician's Nephew (Chronicles of Narnia, #6)",eng,4.01,268355,303570,8690,3168,14602,69051,105375,111374,https://images.gr-assets.com/books/1308814770m/65605.jpg,https://images.gr-assets.com/books/1308814770s/65605.jpg,0
