user_id,book_id
34,483
94,1167
29,4475
116,474
94,4475
94,1847
137,362
124,546
149,3156
149,3048
149,2259
175,3156
185,297
185,2559
194,7231
137,8859
245,1167
70,2727
162,87
319,916
270,4120
364,2440
128,6600
142,474
206,3349
399,45
403,100
396,2632
399,1503
418,1206
418,483
449,26
449,6613
453,8611
453,45
506,138
511,1547
200,100
533,2903
504,114
537,35
537,100
488,442
542,937
497,7579
504,219
564,937
580,4327
580,504
585,688
585,916
585,2967
585,6600
605,87
639,150
637,916
653,1025
555,67
662,45
212,62
497,297
242,5812
697,67
697,40
756,621
788,26
811,4983
863,9172
871,4071
866,180
871,485
914,297
589,2440
900,489
900,7231
900,2732
900,3464
506,951
585,67
816,2621
987,1315
793,2632
1007,901
1007,100
1074,150
1007,646
1091,635
1091,1189
1089,1796
585,1888
1007,1025
1111,493
995,485
1139,87
1149,5326
1046,6600
1046,3027
790,100
1007,5968
912,67
1178,592
638,3156
756,688
869,937
1135,325
746,8128
746,35
1253,2860
1176,67
579,2462
1102,3613
1135,6999
554,67
1016,2632
533,1886
1346,1005
1346,424
746,62
746,368
765,592
765,3156
1254,1393
1254,546
1334,67
1215,8132
1254,483
1395,67
1012,743
1430,180
1430,3085
1459,410
1434,1106
1083,3625
636,4942
1011,3027
547,256
1504,620
1464,67
1526,100
1526,937
1560,2727
1560,180
1528,87
1584,1005
1608,410
1582,504
1582,100
1501,119
1616,2727
1616,119
1537,2259
1537,2440
1537,959
1537,916
1537,2297
1650,3140
1650,1618
1650,2940
1650,4320
1672,485
1526,2186
1710,916
1689,45
1722,3028
1704,490
1722,474
1178,167
594,150
1663,297
1403,1068
1550,916
578,1283
242,1663
1811,67
1657,485
875,40
1508,138
1033,5310
1125,916
1350,474
177,100
1763,1515
1846,6524
1835,442
1835,119
559,729
1872,8707
1872,744
1873,87
1889,2440
1549,67
1824,688
1835,729
1886,3543
1872,303
1935,35
1937,100
706,1005
1926,387
1942,480
1577,1158
1915,4793
1915,916
1107,7974
1890,3613
1254,688
1254,620
2018,635
1612,485
1890,7974
718,297
2048,1171
2055,3085
594,1294
2061,916
1866,4189
2075,45
1549,410
1230,119
2125,493
1860,119
547,1796
2148,1529
318,62
318,67
2156,7205
1734,474
1744,371
2180,2440
1508,3485
2080,180
2080,916
2080,576
1537,1796
2080,256
2080,1581
449,4663
2276,3625
2036,67
2036,35
2130,325
1176,256
1145,4796
3,5448
2080,1314
2334,3758
2329,916
1537,977
2136,8120
2182,3256
755,35
2384,9503
2370,2632
2397,4996
2397,45
215,1294
2384,119
1474,1106
1261,1156
818,1384
1060,2440
1060,4605
2477,368
1060,4942
1060,40
1060,592
1847,35
1847,362
605,256
2502,219
2513,3933
1173,87
1173,119
2178,1168
2178,297
2037,1796
2525,256
1497,62
1910,325
2577,2342
2485,1426
1069,2559
2476,219
2598,646
968,167
2591,5777
1939,1888
2611,3570
1124,3570
1979,410
1124,5051
2337,410
2644,174
2644,2266
2389,3156
2652,119
2322,219
561,303
2662,100
2662,45
2662,9503
2662,362
2662,1106
2662,3061
2662,8312
2662,493
2292,347
2292,641
2292,292
2292,602
2292,542
2661,67
2667,40
2294,3570
2667,100
1528,1670
1111,5215
2704,67
2713,40
2701,3156
2701,1294
2713,1005
1060,7401
2084,424
1123,45
977,2440
2748,485
774,4842
1095,67
2713,119
2769,368
2597,67
2597,35
2788,1294
2796,119
2748,4090
2216,114
2827,2259
1823,119
706,1156
822,283
2123,6688
2123,424
2260,959
2844,87
2860,119
2389,8524
2747,114
2747,2560
2747,138
1400,2044
2070,5783
818,303
679,3480
2709,1156
1095,9
1095,3543
1095,1171
2295,1156
2853,1547
2384,150
2907,1206
2709,916
2888,483
283,67
2438,828
2438,62
2438,371
1727,4482
2438,297
2704,7297
2951,67
2955,3739
2955,424
1270,3156
1270,67
2715,40
848,474
848,67
2962,5310
2709,5853
2709,1167
2070,1515
2038,4129
1270,2559
2715,100
2820,219
2922,2440
2922,620
1845,35
2954,474
2955,7669
2995,4793
2747,4310
2747,8445
3,2439
