record number,Price,Market Cap,Free Float Market Cap %,6m ADV,RoE %,RoCE %,EBIT Margin %,EPS,PAT %,Stock Return %
0,0.00131934,0.00197005,0.82622146,0.02151907,0,0.47684462,0.03811693,0.00070066,0,0.26865117
1,0.00076873,0.00057903,0.44164711,0.00308137,0,0.23207214,0,0.02583239,0,0.19093718
2,0.00013184,0.00031635,0.6550032,0.00077755,0.06556798,0,0,0.00108304,0,0.1222654
3,0.00082398,0.00720848,0.00053339,0.00025208,0.40841705,0.41603133,0,0.00091764,0,0.10050329
4,0.00059618,0.00035827,0.80552592,0.00337849,0.1166257,0.47416033,0.06742022,0.02965107,0,0.05037643
5,0.00058163,0.00103892,0.20002134,0.00073707,0,0.48982541,0.38802824,0.0075399,0,0.07771662
6,0.00043041,0.00107087,0.31630041,0.00026937,0.47872395,0.48504332,0.413441,0.00184075,0,0.06646899
7,0.00162179,0.00038669,0.20002134,0,0.44082606,0.44760168,0,0.00157537,0,0.16931808
8,0.00030827,0.00051242,0.21346277,3.79E-07,0,0.38457689,0,0.00251006,0,0.12324429
9,0.00043913,0.0003136,0.78504374,0.00024822,0.41909918,0.45099717,0,0.00075511,0,0.11555299
10,5.14E-05,0.0010874,0.70492853,0.00171406,0.3212689,0.4759577,0.23241146,0.00842929,0.01365652,0.09365005
11,0.00026658,0.0001568,0.41081715,0.00030061,0.17816662,0.4347295,0.326134,0.01690015,0.0668832,0.06193232
12,0.00037322,0.00273135,0.39993599,0.00618948,0.09067271,0.46154014,0.22983292,0.03133307,0.08433766,0.11669179
13,0.00181276,0.00052645,0.38617453,0.00119305,0.327,0.3265,0.07709251,0.00016823,0.11894273,0.11080649
14,0.00020551,0.00028278,0.52229571,0.00162399,0.36058775,0.49267422,0.35326282,0.04277282,0.12296556,0.08343695
15,0.00140174,0.00072916,0.51322808,0.00533496,0.47427834,0.47882522,0,0.00689525,0.16303907,0.07747208
16,6.30E-05,0.00020243,0.72359718,0.00014759,0.39378778,0.48667336,0.35256666,0.07537384,0.1803512,0.06073497
17,7.95E-05,0.00241977,0.71292938,0.00344165,0.20080261,0.49687804,0.22400016,0.00677141,0.18145505,0.18306113
18,0.00090347,0.00499774,0.03989759,0.00341139,0.30537988,0.46108382,0.30230247,0.00278521,0.24054179,0.20424167
19,0.00010469,0.00113424,0.94911457,0.00407614,0,0.49028424,0.47874628,0.0287702,0.25521205,0.14128389
20,0.00056515,0.00512619,0.46628974,0.02794182,0,0.47479179,0.43334099,0.00258683,0.25782371,0.10674314
21,0.00076485,0.00013612,0.6515895,1.13E-05,0,0.46114502,0.41052627,0.0384377,0.26049869,0.07448991
22,0.00133485,0.00029463,0.2006614,0.00048232,0.45395933,0.48537148,0.33810841,0.00251274,0.26513976,0.10862536
23,6.24E-05,0.0004707,0.43076595,1.42E-05,0.40133762,0.32769553,0.29097323,0.02658674,0.27107124,0.10251089
24,0.00027725,0.0163589,0.77629614,0.06955533,0,0.48388913,0.48764611,0.02999544,0.2766254,0.08479031
25,0.00018515,0.00161374,0.2371453,0.00058682,0.38185529,0.5102197,0.55638199,0.00754737,0.27825359,0.07366184
26,0.00107602,0.00913123,0.68103264,0.02794182,0.40704336,0.49981034,0.47855314,0.00241779,0.28144536,0.0816433
27,0.02257999,0.00021688,0.20012801,3.07E-06,0.48376486,0.483389,0.22868438,7.84E-05,0.28622608,0.10595664
28,0.00132516,0.00071039,0.3459569,0.01886531,0.46644391,0.52537839,0.67099023,0.00125727,0.28917006,0.23464294
29,0.00059424,0.0001471,0.3503307,0.00013648,0.13401436,0.50458651,0.50529144,0.02475905,0.29345105,0.07657258
30,0.00484016,0.00026257,0.18145936,1.87E-06,0,0.49808413,0.29707558,0.00087406,0.30377629,0.06360375
