iso_code,location,date,new_deaths,new_cases,new_tests,new_vaccinations,new_cases_per_thousand,new_tests_per-thousand,new_vaccinations_per_thousand,stringency_index
IND,India,1/16/2021,181,15144,803090,191181,15.144,803.09,191.181,68.98
IND,India,1/17/2021,145,13788,779377,33120,13.788,779.377,33.12,68.98
IND,India,1/18/2021,137,10050,548168,229748,10.05,548.168,229.748,68.98
IND,India,1/19/2021,162,13816,709791,220786,13.816,709.791,220.786,68.98
IND,India,1/20/2021,151,15244,764120,131649,15.244,764.12,131.649,68.98
IND,India,1/21/2021,163,14545,780835,237050,14.545,780.835,237.05,68.98
IND,India,1/22/2021,152,14256,800242,347058,14.256,800.242,347.058,68.98
IND,India,1/23/2021,155,14849,837095,191609,14.849,837.095,191.609,68.98
IND,India,1/24/2021,131,13203,781752,33303,13.203,781.752,33.303,68.98
IND,India,1/25/2021,117,9102,570246,408305,9.102,570.246,408.305,68.98
IND,India,1/26/2021,137,12689,725577,5671,12.689,725.577,5.671,67.13
IND,India,1/27/2021,123,11666,550426,326499,11.666,550.426,326.499,61.57
IND,India,1/28/2021,163,18855,725653,572074,18.855,725.653,572.074,61.57
IND,India,1/29/2021,137,13082,742306,571974,13.082,742.306,571.974,61.57
IND,India,1/30/2021,127,13044,756329,244307,13.044,756.329,244.307,61.57
IND,India,1/31/2021,118,11436,750964,14509,11.436,750.964,14.509,61.57
IND,India,2/1/2021,94,8635,504263,191313,8.635,504.263,191.313,61.57
IND,India,2/2/2021,110,11039,659422,188762,11.039,659.422,188.762,61.57
IND,India,2/3/2021,107,12899,721121,310634,12.899,721.121,310.634,61.57
IND,India,2/4/2021,120,12408,742841,509893,12.408,742.841,509.893,61.57
IND,India,2/5/2021,95,11713,715776,457404,11.713,715.776,457.404,61.57
IND,India,2/6/2021,78,12059,740794,358473,12.059,740.794,358.473,61.57
IND,India,2/7/2021,84,11831,695789,37040,11.831,695.789,37.04,61.57
IND,India,2/8/2021,78,9110,532236,446646,9.11,532.236,446.646,61.57
IND,India,2/9/2021,94,11067,687138,352553,11.067,687.138,352.553,61.57
IND,India,2/10/2021,108,12923,736903,405553,12.923,736.903,405.553,61.57
IND,India,2/11/2021,87,9309,699185,487896,9.309,699.185,487.896,61.57
IND,India,2/12/2021,103,12143,765944,462637,12.143,765.944,462.637,61.57
IND,India,2/13/2021,92,12194,743614,84807,12.194,743.614,84.807,61.57
IND,India,2/16/2021,100,11610,615664,340570,11.61,615.664,340.57,61.57
IND,India,2/17/2021,101,12881,644931,329416,12.881,644.931,329.416,61.57
IND,India,2/18/2021,97,13193,726562,659766,13.193,726.562,659.766,61.57
IND,India,2/19/2021,101,13993,771071,603419,13.993,771.071,603.419,61.57
IND,India,2/20/2021,90,14264,786618,388381,14.264,786.618,388.381,61.57
IND,India,2/21/2021,83,14199,670050,246850,14.199,670.05,246.85,61.57
IND,India,2/22/2021,78,10584,620216,338921,10.584,620.216,338.921,61.57
IND,India,2/23/2021,104,13742,678685,483298,13.742,678.685,483.298,61.57
IND,India,2/24/2021,138,16738,805844,459241,16.738,805.844,459.241,63.43
IND,India,2/25/2021,120,16577,793383,700414,16.577,793.383,700.414,63.43
IND,India,2/26/2021,113,16488,831807,689893,16.488,831.807,689.893,63.43
IND,India,2/27/2021,113,16752,773918,485607,16.752,773.918,485.607,63.43
IND,India,2/28/2021,106,15510,795723,58719,15.51,795.723,58.719,63.43
IND,India,3/1/2021,91,12286,627668,552870,12.286,627.668,552.87,63.43
IND,India,3/2/2021,98,14989,759283,766613,14.989,759.283,766.613,63.43
IND,India,3/3/2021,89,17407,785220,995299,17.407,785.22,995.299,63.43
IND,India,3/4/2021,113,16838,775631,1389455,16.838,775.631,1389.455,63.43
IND,India,3/5/2021,108,18284,761834,1492201,18.284,761.834,1492.201,63.43
IND,India,3/6/2021,100,18754,751935,1424640,18.754,751.935,1424.64,63.43
IND,India,3/7/2021,97,18599,737830,66666,18.599,737.83,66.666,63.43
IND,India,3/10/2021,126,22854,763081,1317105,22.854,763.081,1317.105,57.87
IND,India,3/11/2021,117,23285,778416,479909,23.285,778.416,479.909,57.87
IND,India,3/12/2021,140,24882,740345,2053537,24.882,740.345,2053.537,57.87
IND,India,3/13/2021,161,25320,840635,1519952,25.32,840.635,1519.952,57.87
IND,India,3/14/2021,118,26291,864368,169629,26.291,864.368,169.629,57.87
IND,India,3/15/2021,131,24492,703772,3039394,24.492,703.772,3039.394,57.87
IND,India,3/16/2021,188,28903,873350,2117104,28.903,873.35,2117.104,57.87
IND,India,3/17/2021,172,35871,969021,2078719,35.871,969.021,2078.719,57.87
IND,India,3/18/2021,154,39726,1063379,2196562,39.726,1063.379,2196.562,57.87
IND,India,3/19/2021,188,40953,1057383,2723575,40.953,1057.383,2723.575,57.87
IND,India,3/20/2021,197,43846,1060971,2540449,43.846,1060.971,2540.449,57.87
IND,India,3/23/2021,275,47262,967459,2346692,47.262,967.459,2346.692,57.87
IND,India,3/24/2021,251,53476,1025628,2304423,53.476,1025.628,2304.423,57.87
IND,India,3/25/2021,257,59118,1065021,2358731,59.118,1065.021,2358.731,57.87
IND,India,3/26/2021,291,62258,1100756,2605333,62.258,1100.756,2605.333,57.87
IND,India,3/27/2021,312,62714,1164915,2160009,62.714,1164.915,2160.009,57.87
IND,India,3/28/2021,291,68020,1181289,260653,68.02,1181.289,260.653,57.87
IND,India,3/29/2021,271,56211,913319,582919,56.211,913.319,582.919,57.87
IND,India,3/30/2021,354,53480,785864,1940999,53.48,785.864,1940.999,57.87
IND,India,3/31/2021,459,72330,1022915,2063543,72.33,1022.915,2063.543,57.87
IND,India,4/1/2021,469,81466,1125681,3671242,81.466,1125.681,3671.242,57.87
IND,India,4/2/2021,714,89129,1113966,4265157,89.129,1113.966,4265.157,57.87
IND,India,4/3/2021,513,93249,1046605,2925356,93.249,1046.605,2925.356,74.54
IND,India,4/4/2021,478,103558,1166716,3125512,103.558,1166.716,3125.512,74.54
IND,India,4/5/2021,446,96982,893749,4005763,96.982,893.749,4005.763,69.91
IND,India,4/6/2021,630,115736,1211612,3966548,115.736,1211.612,3966.548,69.91
IND,India,4/7/2021,685,126789,1208329,3121199,126.789,1208.329,3121.199,69.91
IND,India,4/8/2021,780,131968,1237781,4135589,131.968,1237.781,4135.589,69.91
IND,India,4/9/2021,794,145384,1364205,3740898,145.384,1364.205,3740.898,69.91
IND,India,4/10/2021,839,152879,1173219,3519987,152.879,1173.219,3519.987,69.91
IND,India,4/11/2021,904,168912,1412047,2933418,168.912,1412.047,2933.418,69.91
IND,India,4/12/2021,879,161736,1180136,4004520,161.736,1180.136,4004.52,69.91
IND,India,4/13/2021,1027,184372,1400122,2646493,184.372,1400.122,2646.493,69.91
IND,India,4/14/2021,1038,200739,1411758,3313660,200.739,1411.758,3313.66,69.91
IND,India,4/15/2021,1185,217353,1384549,2730271,217.353,1384.549,2730.271,69.91
IND,India,4/16/2021,1341,234692,1473210,2714132,234.692,1473.21,2714.132,69.91
IND,India,4/17/2021,1501,261394,1495397,2684949,261.394,1495.397,2684.949,69.91
IND,India,4/18/2021,1619,273802,1566394,1229976,273.802,1566.394,1229.976,69.91
IND,India,4/19/2021,1761,259167,1356133,3276547,259.167,1356.133,3276.547,73.61
IND,India,4/22/2021,2263,332921,1651711,3108503,332.921,1651.711,3108.503,73.61
IND,India,4/26/2021,2771,323023,1402367,3339774,323.023,1402.367,3339.774,73.61
IND,India,4/27/2021,3293,360927,1658700,2354286,360.927,1658.7,2354.286,73.61
IND,India,4/28/2021,3645,379308,1723912,2174159,379.308,1723.912,2174.159,73.61
IND,India,4/29/2021,3498,386555,1768190,2215380,386.555,1768.19,2215.38,73.61
IND,India,4/30/2021,3523,401993,1920107,2729335,401.993,1920.107,2729.335,73.61
IND,India,5/1/2021,3689,392488,1945299,1628218,392.488,1945.299,1628.218,73.61
IND,India,5/2/2021,3417,368060,1804954,585186,368.06,1804.954,585.186,73.61
IND,India,5/3/2021,3449,357316,1504698,1870625,357.316,1504.698,1870.625,73.61
IND,India,5/4/2021,3780,382146,1663742,1668616,382.146,1663.742,1668.616,73.61
IND,India,5/5/2021,3980,412431,1541299,2180486,412.431,1541.299,2180.486,73.61
IND,India,5/6/2021,3915,414188,1923131,2672365,414.188,1923.131,2672.365,73.61
IND,India,5/7/2021,4187,401078,1826490,2586397,401.078,1826.49,2586.397,73.61
IND,India,5/8/2021,4077,403405,1808344,2303857,403.405,1808.344,2303.857,73.61
IND,India,5/9/2021,3769,366494,1865428,811011,366.494,1865.428,811.011,73.61
IND,India,5/10/2021,3876,329942,1474606,2794050,329.942,1474.606,2794.05,81.94
IND,India,5/11/2021,4205,348421,1850110,2763725,348.421,1850.11,2763.725,81.94
IND,India,5/12/2021,4120,362727,1983804,2182934,362.727,1983.804,2182.934,81.94
IND,India,5/13/2021,4000,343144,1864594,2316269,343.144,1864.594,2316.269,81.94
IND,India,5/14/2021,3890,326098,1875515,1284567,326.098,1875.515,1284.567,81.94
IND,India,5/15/2021,4077,311170,1693093,1898123,311.17,1693.093,1898.123,81.94
IND,India,5/18/2021,4529,267334,1869223,1374398,267.334,1869.223,1374.398,81.94
IND,India,5/19/2021,3874,276110,2008296,1218998,276.11,2008.296,1218.998,81.94
IND,India,5/20/2021,4209,259551,2055010,1476285,259.551,2055.01,1476.285,81.94
IND,India,5/23/2021,4454,222315,2123782,876743,222.315,2123.782,876.743,81.94
IND,India,5/24/2021,3511,196427,1928127,2446471,196.427,1928.127,2446.471,81.94
IND,India,5/25/2021,4157,208921,2058112,1341068,208.921,2058.112,1341.068,81.94
IND,India,5/26/2021,3847,211298,2217320,2918836,211.298,2217.32,2918.836,81.94
IND,India,5/27/2021,3660,186364,2157857,2777551,186.364,2157.857,2777.551,81.94
IND,India,5/28/2021,3617,173790,2070508,1963636,173.79,2070.508,1963.636,81.94
IND,India,5/29/2021,3460,165553,2080048,3922151,165.553,2080.048,3922.151,81.94
IND,India,5/30/2021,3128,152734,2063839,1576170,152.734,2063.839,1576.17,81.94
IND,India,5/31/2021,2795,127510,1683135,1784772,127.51,1683.135,1784.772,81.94
IND,India,6/1/2021,3207,132788,1925374,2685843,132.788,1925.374,2685.843,81.94
IND,India,6/2/2021,2887,134154,3265073,2542428,134.154,3265.073,2542.428,81.94
IND,India,6/3/2021,2713,132364,3725318,2666218,132.364,3725.318,2666.218,81.94
IND,India,6/4/2021,3380,120529,3651198,5263384,120.529,3651.198,5263.384,81.94
IND,India,6/5/2021,2677,114460,3740296,1963376,114.46,3740.296,1963.376,81.94
IND,India,6/6/2021,2427,100636,3572380,2469901,100.636,3572.38,2469.901,81.94
IND,India,6/7/2021,2123,86498,1587589,2449607,86.498,1587.589,2449.607,81.94
IND,India,6/8/2021,2219,92596,1873485,3190277,92.596,1873.485,3190.277,81.94
IND,India,6/9/2021,2177,93463,1985967,3175576,93.463,1985.967,3175.576,81.94
IND,India,6/10/2021,7374,92291,2004690,3425398,92.291,2004.69,3425.398,81.94
IND,India,6/11/2021,4002,84332,2044131,3421339,84.332,2044.131,3421.339,81.94
IND,India,6/12/2021,3303,80834,1989778,2484825,80.834,1989.778,2484.825,81.94
IND,India,6/13/2021,3921,70421,1900312,3242349,70.421,1900.312,3242.349,81.94
IND,India,6/14/2021,2726,60471,1492152,3329948,60.471,1492.152,3329.948,81.94
IND,India,6/15/2021,2542,62224,1751358,2545002,62.224,1751.358,2545.002,81.94
IND,India,6/16/2021,2330,67208,1930987,3020534,67.208,1930.987,3020.534,81.94
IND,India,6/17/2021,1587,62480,1931249,4644350,62.48,1931.249,4644.35,81.94
IND,India,6/18/2021,1647,60753,1929476,3385690,60.753,1929.476,3385.69,81.94
IND,India,6/19/2021,1571,58226,2039941,4552372,58.226,2039.941,4552.372,81.94
IND,India,6/20/2021,1427,53449,1811446,3378287,53.449,1811.446,3378.287,81.94
IND,India,6/21/2021,1167,42640,1388699,9027343,42.64,1388.699,9027.343,81.94
IND,India,6/22/2021,1358,50848,1664360,6541514,50.848,1664.36,6541.514,81.94
IND,India,6/23/2021,1321,54069,1901056,3514882,54.069,1901.056,3514.882,81.94
IND,India,6/24/2021,1329,51667,1859469,6683689,51.667,1859.469,6683.689,81.94
IND,India,6/25/2021,1183,48698,1735781,6607501,48.698,1735.781,6607.501,81.94
IND,India,6/26/2021,1258,50040,2243444,8179856,50.04,2243.444,8179.856,81.94
IND,India,6/27/2021,979,46148,2453209,3189028,46.148,2453.209,3189.028,81.94
IND,India,6/28/2021,907,37566,2106178,3393166,37.566,2106.178,3393.166,81.94
IND,India,6/29/2021,817,45951,1768008,6000335,45.951,1768.008,6000.335,81.94
IND,India,6/30/2021,1005,48786,1960757,1734226,48.786,1960.757,1734.226,81.94
IND,India,7/1/2021,853,46617,1921450,5583510,46.617,1921.45,5583.51,81.94
IND,India,7/2/2021,738,44111,2230026,930145,44.111,2230.026,930.145,81.94
IND,India,7/3/2021,955,43071,2164943,8628796,43.071,2164.943,8628.796,81.94
IND,India,7/4/2021,723,39796,1838490,3077960,39.796,1838.49,3077.96,81.94
IND,India,7/5/2021,553,34703,1522504,3850947,34.703,1522.504,3850.947,81.94
ISR,Israel,12/20/2020,25,1874,73444,7374,1.874,73.444,7.374,71.3
ISR,Israel,12/21/2020,12,3499,95599,24884,3.499,95.599,24.884,71.3
ISR,Israel,12/22/2020,25,4228,95331,44614,4.228,95.331,44.614,74.07
ISR,Israel,12/23/2020,14,2535,99562,62830,2.535,99.562,62.83,74.07
ISR,Israel,12/24/2020,21,4656,102717,73328,4.656,102.717,73.328,74.07
ISR,Israel,12/25/2020,15,4713,87038,38450,4.713,87.038,38.45,74.07
ISR,Israel,12/26/2020,24,4273,64929,32573,4.273,64.929,32.573,74.07
ISR,Israel,12/27/2020,16,2806,72924,104370,2.806,72.924,104.37,82.41
ISR,Israel,12/28/2020,30,5815,100039,134805,5.815,100.039,134.805,82.41
ISR,Israel,12/29/2020,36,5113,99628,155946,5.113,99.628,155.946,82.41
ISR,Israel,12/30/2020,15,4186,103391,152726,4.186,103.391,152.726,82.41
ISR,Israel,12/31/2020,18,6678,103597,158174,6.678,103.597,158.174,82.41
ISR,Israel,1/1/2021,31,5248,101217,71234,5.248,101.217,71.234,82.41
ISR,Israel,1/2/2021,36,6289,77160,71626,6.289,77.16,71.626,82.41
ISR,Israel,1/3/2021,24,6743,79939,149402,6.743,79.939,149.402,82.41
ISR,Israel,1/4/2021,29,6631,111655,151838,6.631,111.655,151.838,82.41
ISR,Israel,1/5/2021,51,7966,116538,124854,7.966,116.538,124.854,82.41
ISR,Israel,1/6/2021,33,7309,122920,103074,7.309,122.92,103.074,82.41
ISR,Israel,1/7/2021,23,7600,117948,115827,7.6,117.948,115.827,85.19
ISR,Israel,1/8/2021,44,6309,116982,66298,6.309,116.982,66.298,85.19
ISR,Israel,1/9/2021,49,8077,80260,44477,8.077,80.26,44.477,85.19
ISR,Israel,1/10/2021,26,5885,96441,43523,5.885,96.441,43.523,85.19
ISR,Israel,1/11/2021,33,9754,126327,40250,9.754,126.327,40.25,85.19
ISR,Israel,1/12/2021,67,8990,120994,59543,8.99,120.994,59.543,85.19
ISR,Israel,1/13/2021,46,9997,122324,108731,9.997,122.324,108.731,85.19
ISR,Israel,1/14/2021,53,9754,124893,125057,9.754,124.893,125.057,85.19
ISR,Israel,1/15/2021,40,5235,102024,66497,5.235,102.024,66.497,85.19
ISR,Israel,1/16/2021,49,8450,71754,55344,8.45,71.754,55.344,85.19
ISR,Israel,1/17/2021,46,8190,64475,152711,8.19,64.475,152.711,85.19
ISR,Israel,1/18/2021,39,6560,102021,189739,6.56,102.021,189.739,85.19
ISR,Israel,1/19/2021,36,7380,96080,210102,7.38,96.08,210.102,85.19
ISR,Israel,1/20/2021,101,10213,93421,219930,10.213,93.421,219.93,85.19
ISR,Israel,1/21/2021,64,7027,82627,233538,7.027,82.627,233.538,85.19
ISR,Israel,1/22/2021,21,6159,86036,108637,6.159,86.036,108.637,85.19
ISR,Israel,1/23/2021,75,4933,31000,93324,4.933,31,93.324,85.19
ISR,Israel,1/24/2021,78,3442,54458,209276,3.442,54.458,209.276,85.19
ISR,Israel,1/25/2021,79,3666,91654,219905,3.666,91.654,219.905,85.19
ISR,Israel,1/26/2021,15,8587,83591,204546,8.587,83.591,204.546,85.19
ISR,Israel,1/27/2021,92,11934,86103,202412,11.934,86.103,202.412,85.19
ISR,Israel,1/28/2021,64,7305,78521,209701,7.305,78.521,209.701,85.19
ISR,Israel,1/29/2021,31,5096,74377,101132,5.096,74.377,101.132,85.19
ISR,Israel,1/30/2021,38,4798,26885,76948,4.798,26.885,76.948,85.19
ISR,Israel,1/31/2021,58,4646,55061,132519,4.646,55.061,132.519,87.04
ISR,Israel,2/1/2021,20,8811,93114,117479,8.811,93.114,117.479,87.04
ISR,Israel,2/2/2021,71,7732,88878,100811,7.732,88.878,100.811,87.04
ISR,Israel,2/3/2021,61,8896,86393,111341,8.896,86.393,111.341,87.04
ISR,Israel,2/4/2021,53,6744,84657,130306,6.744,84.657,130.306,87.04
ISR,Israel,2/5/2021,19,5238,84147,62433,5.238,84.147,62.433,87.04
ISR,Israel,2/6/2021,51,4727,29034,43673,4.727,29.034,43.673,87.04
ISR,Israel,2/7/2021,50,6518,54012,122483,6.518,54.012,122.483,64.81
ISR,Israel,2/8/2021,50,4427,91354,123683,4.427,91.354,123.683,64.81
ISR,Israel,2/9/2021,45,7191,81706,133397,7.191,81.706,133.397,64.81
